Name,Job_Role,Experience_Numeric_Weight,Technical_Skill_Proficiency,P1_Big5_Openness,P1_Big5_Conscientiousness,P1_Big5_Extraversion,P1_Big5_Agreeableness,P1_Big5_Neuroticism,P1_Dark_Machiavellianism,P1_Dark_Narcissism,P1_Dark_Psychopathy,P2_Behavior_Self_Efficacy,P2_Behavior_Self_Monitoring,P2_Behavior_Proactivity,P2_Behavior_Action_Orient,P2_Behavior_Psych_Capital,P3_Attitude_Utilitarian,P3_Attitude_Value_Express,P3_Attitude_Ego_Defensive,P3_Attitude_Knowledge,P4_Emotion_Pos_High_Act,P4_Emotion_Prosocial_Aff,P4_Emotion_Neg_High_Act,P4_Emotion_Neg_Low_Act,P4_Emotion_Threat_Apprehend,P5_Comm_Instrumental,P5_Comm_Expressive,P5_Comm_Controlled,P6_EI_Self_Control,P6_EI_Conflict_Management,P6_EI_Empathy_Resolution,P6_EI_Isolated_Focus,P7_Value_Openness_Change,P7_Value_Conservation,P7_Value_Social_Focus,P7_Value_Personal_Focus,P8_Interdep_Positive,P8_Interdep_Negative,P8_Interdep_No,Cluster_ID,PCA_X,PCA_Y
Tara Gonzalez,Data Scientist,0.5,0.82,0.58,0.9,0.34,0.65,0.31,0.27,0.26,0.11,0.36,0.54,0.62,0.47,0.54,0.59,0.34,0.08,0.76,0.59,0.83,0.41,0.47,0.32,0.71,0.44,0.79,0.55,0.3,0.43,0.77,0.7,0.57,0.41,0.56,0.56,0.72,0.99,1,1.7611998523218921,-1.899656172835473
Jared Quinn,Data Scientist,1.0,0.88,0.71,0.68,0.68,0.8,0.03,0.09,0.23,0.31,0.7,0.49,0.6,0.54,0.7,0.49,0.9,0.39,0.47,0.65,0.9,0.4,0.23,0.27,0.28,0.57,0.72,0.95,0.84,0.99,0.35,0.55,0.6,0.99,0.34,0.99,0.01,0.42,3,-4.284074236229569,-1.3608220143669436
Jane Woods,Data Scientist,0.5,0.83,0.39,0.81,0.84,0.85,0.17,0.01,0.18,0.26,0.62,0.69,0.63,0.77,0.84,0.45,0.96,0.28,0.55,0.8,0.81,0.19,0.49,0.26,0.05,0.8,0.54,0.71,0.92,0.83,0.33,0.35,0.41,0.99,0.35,0.6,0.04,0.15,3,-4.8541093680929155,-0.607965853327673
Julie Chambers,Data Scientist,0.0,0.71,0.61,0.99,0.67,0.9,0.24,0.02,0.47,0.26,0.77,0.61,0.76,0.39,0.89,0.73,0.6,0.17,0.61,0.62,0.62,0.26,0.14,0.37,0.31,0.98,0.48,0.7,0.97,0.67,0.33,0.85,0.31,0.88,0.39,0.97,0.01,0.1,3,-3.9011992647913516,0.29770968659158387
Tonya Campbell,Data Scientist,0.0,0.76,0.94,0.88,0.88,0.68,0.38,0.27,0.76,0.5,0.96,0.56,0.74,0.63,0.87,0.84,0.71,0.49,0.57,0.87,0.34,0.28,0.38,0.21,0.88,0.83,0.91,0.61,0.49,0.59,0.26,0.99,0.36,0.63,0.73,0.81,0.33,0.52,0,-0.5049212364845486,1.6565524468804234
Aaron Rodriguez,HR Executive,0.0,0.74,0.68,0.98,0.33,0.31,0.43,0.41,0.22,0.27,0.76,0.23,0.55,0.78,0.76,0.86,0.24,0.26,0.93,0.58,0.53,0.93,0.54,0.57,0.94,0.4,0.7,0.76,0.33,0.41,0.78,0.71,0.95,0.07,0.85,0.16,0.23,0.99,1,4.869934260551864,-2.427744288657929
Louis Williams,Data Scientist,1.0,0.96,0.83,0.67,0.78,0.66,0.61,0.48,0.5,0.27,0.65,0.82,0.71,0.51,0.73,0.15,0.63,0.5,0.55,0.65,0.9,0.01,0.44,0.49,0.51,0.99,0.4,0.99,0.74,0.66,0.26,0.93,0.55,0.71,0.16,0.83,0.01,0.1,3,-3.4810530156622037,0.9074427296720896
Jason Calhoun,Data Scientist,1.0,0.97,0.68,0.87,0.52,0.28,0.57,0.35,0.2,0.32,0.78,0.31,0.51,0.64,0.62,0.8,0.69,0.21,0.99,0.21,0.43,0.44,0.49,0.31,0.77,0.23,0.66,0.78,0.5,0.35,0.98,0.75,0.72,0.44,0.63,0.32,0.41,0.94,1,3.520176277372943,-2.371873070111185
Nicole Martinez,Data Scientist,0.5,0.81,0.28,0.32,0.5,0.47,0.83,0.73,0.69,0.69,0.65,0.79,0.52,0.64,0.36,0.93,0.31,0.71,0.79,0.61,0.01,0.68,0.68,0.37,0.87,0.55,0.3,0.35,0.04,0.57,0.55,0.67,0.54,0.45,0.79,0.33,0.88,0.63,2,5.486772976064509,4.237979926057031
Renee Oliver,Marketing Manager,0.0,0.81,0.38,0.44,0.59,0.82,0.3,0.42,0.43,0.13,0.65,0.6,0.55,0.56,0.85,0.28,0.83,0.48,0.58,0.76,0.95,0.19,0.33,0.3,0.46,0.63,0.6,0.82,0.99,0.99,0.62,0.53,0.68,0.88,0.68,0.73,0.07,0.21,3,-3.557087464293538,-0.4598226661855909
